isoform	chrom	junction_number	genomic_start_coord	genomic_end_coord	junction_category
TCONS_00048825	chr9	junction_8	128995515	128998150	known
TCONS_00048825	chr9	junction_9	128998229	128998537	known
TCONS_00048825	chr9	junction_10	128998624	128999171	known
TCONS_00048825	chr9	junction_11	128999318	128999623	known
TCONS_00048825	chr9	junction_12	128999806	129001528	known
TCONS_00048825	chr9	junction_13	129001730	129001883	known
TCONS_00048825	chr9	junction_14	129001977	129002816	known
TCONS_00048825	chr9	junction_15	129002976	129003316	known
TCONS_00048825	chr9	junction_16	129003455	129005146	known
TCONS_00048825	chr9	junction_17	129005222	129005302	known
TCONS_00048825	chr9	junction_18	129005531	129005644	known
TCONS_00048825	chr9	junction_19	129005777	129006049	known
TCONS_00048825	chr9	junction_20	129006124	129006238	known
TCONS_00048825	chr9	junction_21	129006369	129006501	known
TCONS_00048928	chr9	junction_1	133764110	133768441	known
TCONS_00048928	chr9	junction_2	133768597	133770377	known
TCONS_00048928	chr9	junction_3	133770502	133771958	known
TCONS_00048928	chr9	junction_4	133772047	133774934	known
TCONS_00048928	chr9	junction_5	133775052	133776027	known
TCONS_00048928	chr9	junction_6	133776081	133777388	known
TCONS_00048928	chr9	junction_7	133777464	133778761	known
TCONS_00048928	chr9	junction_8	133778890	133779917	known
TCONS_00048928	chr9	junction_9	133779940	133780693	known
TCONS_00048928	chr9	junction_10	133780711	133783502	known
TCONS_00048928	chr9	junction_11	133783592	133784316	known
TCONS_00048928	chr9	junction_12	133784419	133785775	known
TCONS_00048928	chr9	junction_13	133785886	133788353	known
TCONS_00048928	chr9	junction_14	133788487	133789257	known
TCONS_00048928	chr9	junction_15	133789344	133791782	known
TCONS_00048928	chr9	junction_16	133791870	133795667	known
TCONS_00048928	chr9	junction_17	133795737	133796428	known
TCONS_00048928	chr9	junction_18	133796525	133797709	known
TCONS_00048928	chr9	junction_19	133797810	133806080	known
TCONS_00049286	chr9	junction_1	137205913	137206229	novel
TCONS_00048272	chr9	junction_1	137619050	137716625	known
TCONS_00048272	chr9	junction_2	137717183	137728348	known
TCONS_00048272	chr9	junction_3	137728530	137743391	known
TCONS_00048272	chr9	junction_4	137743529	137743901	known
TCONS_00048272	chr9	junction_5	137744091	137752330	known
TCONS_00048272	chr9	junction_6	137752409	137754170	known
TCONS_00048272	chr9	junction_7	137754292	137757879	known
TCONS_00048272	chr9	junction_8	137758012	137762674	known
TCONS_00048272	chr9	junction_9	137762821	137775108	known
TCONS_00048272	chr9	junction_10	137775253	137776617	known
TCONS_00048272	chr9	junction_11	137776845	137777881	known
TCONS_00048272	chr9	junction_12	137778056	137779634	known
TCONS_00048272	chr9	junction_13	137779718	137782290	known
TCONS_00048272	chr9	junction_14	137782398	137790847	known
TCONS_00048272	chr9	junction_15	137790971	137798812	known
TCONS_00048272	chr9	junction_16	137798915	137800879	known
TCONS_00048272	chr9	junction_17	137800985	137811460	known
TCONS_00048272	chr9	junction_18	137811616	137813005	known
TCONS_00048272	chr9	junction_19	137813174	137813385	known
TCONS_00048272	chr9	junction_20	137813531	137814430	known
TCONS_00048272	chr9	junction_21	137814509	137815946	known
TCONS_00048272	chr9	junction_22	137816063	137817438	known
TCONS_00048272	chr9	junction_23	137817526	137818059	known
TCONS_00048272	chr9	junction_24	137818139	137834348	known
TCONS_00048272	chr9	junction_25	137834525	137834772	known
